,Episode,Training_Accuracy,Validation_Accuracy
571,,0.5263157894736842,0.0
572,,0.0,0.0
573,,0.0,0.0
574,,0.15384615384615385,0.1111111111111111
575,,0.4444444444444444,0.0
576,,0.5869565217391305,0.0
577,,0.0,0.0
578,,0.09090909090909091,0.0
579,,0.0,0.0
580,,0.0,0.0
581,,0.0,0.7
582,,0.0,0.0
583,,0.0,0.0
584,,0.0,0.0
585,,0.6666666666666666,0.0
586,,0.30434782608695654,0.19047619047619047
587,,0.0,0.0
588,,0.0,0.5384615384615384
589,,0.0,0.0
590,,0.47619047619047616,0.0
591,,0.4444444444444444,0.0
592,,0.3,0.1
593,,0.0,0.0
594,,0.0,0.0
595,,0.0,0.0
596,,0.0,0.0
597,,0.0,0.0
598,,0.0,0.0
599,,0.0,0.25
600,,0.4230769230769231,0.0
601,,0.36363636363636365,0.0
602,,0.0,0.29411764705882354
603,,0.0,0.44510385756676496
604,,0.5789473684210527,0.0
605,,0.0,0.0
606,,0.5789473684210527,0.6666666666666666
607,,0.6153846153846154,0.5
608,,0.2,0.0
609,,0.4523809523809524,0.0
610,,0.0,0.7954545454545454
611,,0.0,0.0
612,,0.0,0.0
613,,0.0,0.3076923076923077
614,,0.0,0.0
615,,0.29411764705882354,0.20833333333333334
616,,0.0,0.0
617,,0.0,0.0
618,,0.0,0.0
619,,0.0,0.0
620,,0.6111111111111112,0.0
621,,0.7368421052631579,0.0
622,,0.0,0.0
623,,0.0,0.36363636363636365
624,,0.0,0.0
625,,0.0,0.32142857142857145
626,,0.0,0.0
627,,0.7142857142857143,0.125
628,,0.0,0.0
629,,0.0,0.0
630,,0.0,0.0
631,,0.0,0.09090909090909091
632,,0.28169014084507044,0.16666666666666666
633,,0.0,0.0
634,,0.0,0.0
635,,0.14814814814814814,0.47368421052631576
636,,0.6071428571428571,0.05
637,,0.0,0.6428571428571429
638,,0.6190476190476191,0.0
639,,0.0,0.0
640,,0.0,0.0
641,,0.0,0.0625
642,,0.25,0.0
643,,0.0,0.0
644,,0.0,0.0
645,,0.0,0.20833333333333334
646,,0.0,0.0
647,,0.0,0.0
648,,0.0,0.34615384615384615
649,,0.0,0.0
650,,0.775,0.75
651,,0.0,0.38461538461538464
652,,0.85,0.23529411764705882
653,,0.0,0.0
654,,0.3684210526315789,0.0
655,,0.0,0.0
656,,0.0,0.0
657,,0.0,0.0
658,,0.0,0.2857142857142857
659,,0.0,0.0
660,,0.0,0.06666666666666667
661,,0.8775510204081632,0.0
662,,0.0,0.0
663,,0.07692307692307693,0.0
664,,0.0,0.0
665,,0.5,0.0
666,,0.9512195121951219,0.0
667,,0.8736842105263158,0.0
668,,0.0,0.0
669,,0.0,0.625
670,,0.8431372549019608,0.0
671,,0.0,0.0
672,,0.0,0.0
673,,0.08433734939759036,0.8214285714285714
674,,0.48148148148148145,0.0
675,,0.0,0.0
676,,0.3076923076923077,0.0
677,,0.03571428571428571,0.0
678,,0.0,0.0
679,,0.0,0.0
680,,0.0,0.5
681,,0.0,0.0
682,,0.0,1.0
683,,0.42857142857142855,0.0
684,,0.0,0.9666666666666667
685,,0.6666666666666666,0.0
686,,0.05,0.0
687,,0.0,0.25
688,,0.8695652173913043,0.23076923076923078
689,,0.0,0.0
690,,0.0,0.25
691,,0.0,0.0
692,,0.0,0.0
693,,0.0,0.10714285714285714
694,,0.0,0.0
695,,0.42857142857142855,0.48
696,,0.0,0.0
697,,0.0,0.0
698,,0.0,0.0
699,,0.0,0.0
700,,0.0,0.0
701,,0.0,0.0
702,,0.0,0.5789473684210527
703,,0.0,0.0
704,,0.5106382978723404,0.0
705,,0.4117647058823529,0.09523809523809523
706,,0.0,0.0
707,,0.0,0.0
708,,0.125,0.0
709,,0.0,0.0
